MSSubClass,Utilities,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinType2,BsmtFinSF2,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BsmtHalfBath,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageQual,GarageCond,PavedDrive,MiscVal,EnclosedPorch,SalePrice
45,AllPub,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,Unf,Unf,0,GasA,Ex,Y,FuseF,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,N,0,205,139400
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,230000
120,AllPub,MeadowV,Norm,Norm,TwnhsE,1Story,7,CemntBd,CmentBd,TA,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,129900
20,AllPub,Sawyer,Norm,Norm,1Fam,1Story,8,Plywood,Plywood,TA,Gd,CBlock,TA,TA,Rec,ALQ,668,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,154000
20,AllPub,NridgHt,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,256300
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,BLQ,Rec,486,GasA,TA,Y,SBrkr,0,1,1,Gd,Typ,NA,Detchd,TA,TA,Y,0,0,134800
20,AllPub,NridgHt,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,306000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,BLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,Gd,Attchd,TA,TA,Y,0,0,207500
30,AllPub,BrkSide,Feedr,RRNn,1Fam,1Story,6,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Fa,N,SBrkr,0,0,1,Fa,Typ,NA,Detchd,Fa,TA,Y,0,87,68500
70,AllPub,IDOTRR,Feedr,Norm,1Fam,2Story,4,BrkFace,BrkFace,TA,Fa,BrkTil,TA,TA,Unf,Unf,0,GasA,TA,N,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,Fa,N,0,172,40000
20,AllPub,Sawyer,Norm,Norm,1Fam,1Story,6,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,149350
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,179900
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,Gd,Y,SBrkr,0,1,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,165500
120,AllPub,NridgHt,Norm,Norm,TwnhsE,1Story,5,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Gd,Attchd,TA,TA,Y,0,0,277500
60,AllPub,NridgHt,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,BuiltIn,TA,TA,Y,0,0,309000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,145000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,Gd,Y,SBrkr,0,1,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,153000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,NA,Detchd,TA,TA,Y,0,0,109000
90,AllPub,Edwards,Norm,Norm,Duplex,1Story,5,AsbShng,Plywood,TA,TA,PConc,NA,NA,NA,NA,0,GasA,TA,N,FuseP,0,0,2,Fa,Typ,NA,NA,NA,NA,N,0,0,82000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,160000
20,AllPub,Timber,Norm,Norm,1Fam,1Story,6,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,BLQ,Unf,0,GasA,Gd,Y,SBrkr,0,1,1,TA,Typ,Gd,Attchd,TA,TA,P,0,0,170000
85,AllPub,SawyerW,Norm,Norm,1Fam,SFoyer,7,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,ALQ,LwQ,93,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,Gd,Y,0,0,144000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,6,VinylSd,VinylSd,TA,TA,CBlock,Gd,TA,LwQ,BLQ,491,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,130250
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,BrkFace,Wd Sdng,TA,TA,CBlock,TA,TA,ALQ,BLQ,506,GasA,Ex,Y,FuseA,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,141000
120,AllPub,NridgHt,Norm,Norm,TwnhsE,1Story,5,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Gd,Attchd,TA,TA,Y,0,0,319900
50,AllPub,Mitchel,Norm,Norm,1Fam,1.5Fin,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Ex,Attchd,TA,TA,Y,0,0,239686
20,AllPub,Somerst,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,249700
190,AllPub,OldTown,Norm,Norm,2fmCon,2Story,5,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,3,TA,Typ,NA,NA,NA,NA,N,0,102,113000
20,AllPub,Sawyer,Norm,Norm,1Fam,1Story,7,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,BLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,127000
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Gd,Y,SBrkr,0,1,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,177000
50,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,6,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,Unf,Unf,0,GasA,TA,Y,SBrkr,360,0,1,TA,Typ,Gd,Detchd,TA,TA,Y,400,0,114500
90,AllPub,IDOTRR,RRNn,Norm,Duplex,1Story,5,Wd Sdng,Wd Sdng,Fa,TA,CBlock,Gd,TA,LwQ,GLQ,712,GasA,TA,N,SBrkr,0,0,1,TA,Typ,NA,CarPort,TA,TA,Y,0,0,110000
20,AllPub,Veenker,Norm,Norm,1Fam,1Story,5,WdShing,Wd Shng,Gd,TA,CBlock,Ex,TA,GLQ,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,385000
80,AllPub,NAmes,Norm,Norm,1Fam,SLvl,5,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Min1,TA,Detchd,TA,TA,Y,0,0,130000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,HdBoard,Plywood,TA,TA,CBlock,TA,TA,BLQ,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,Gd,Attchd,TA,TA,Y,0,0,180500
160,AllPub,Somerst,Norm,Norm,Twnhs,2Story,5,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,172500
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,196500
60,AllPub,StoneBr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,BuiltIn,TA,TA,Y,0,37,438780
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,124900
20,AllPub,SawyerW,RRAe,Norm,1Fam,1Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Detchd,TA,TA,Y,0,0,158000
75,AllPub,IDOTRR,Norm,Norm,1Fam,2.5Unf,7,MetalSd,MetalSd,TA,TA,BrkTil,TA,Fa,Unf,Unf,0,GasA,TA,N,SBrkr,0,0,1,Fa,Typ,NA,Detchd,TA,TA,N,0,144,101000
120,AllPub,NridgHt,Norm,Norm,TwnhsE,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,Gd,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,202500
70,AllPub,OldTown,RRAn,Feedr,1Fam,2Story,6,Stucco,Stucco,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,64,140000
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,219500
60,AllPub,NridgHt,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,BuiltIn,TA,TA,Y,0,0,317000
20,AllPub,NAmes,PosA,Norm,1Fam,1Story,5,Plywood,Plywood,TA,TA,CBlock,Gd,TA,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Min1,Gd,Attchd,TA,TA,Y,0,0,180000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,226000
30,AllPub,OldTown,Artery,Norm,1Fam,1Story,6,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,Unf,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,80000
50,AllPub,ClearCr,Norm,Norm,1Fam,1.5Fin,4,BrkFace,AsbShng,Gd,TA,CBlock,TA,TA,BLQ,Unf,0,GasW,TA,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,114,225000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,Plywood,Plywood,TA,Gd,CBlock,Gd,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,Gd,Attchd,TA,TA,Y,0,0,244000
20,AllPub,Mitchel,Norm,Norm,1Fam,1Story,6,HdBoard,Plywood,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,129500
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,185000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,ALQ,BLQ,362,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,144900
50,AllPub,OldTown,Norm,Norm,1Fam,2Story,6,VinylSd,VinylSd,Gd,Gd,CBlock,Fa,TA,Unf,Unf,0,GasA,Gd,N,SBrkr,0,0,2,TA,Typ,NA,Detchd,TA,TA,Y,0,202,107400
180,AllPub,MeadowV,Norm,Norm,Twnhs,SLvl,5,CemntBd,CmentBd,TA,TA,CBlock,Gd,TA,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,BuiltIn,TA,TA,Y,0,0,91000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,Ex,Y,FuseA,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,135750
50,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,5,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,BLQ,GLQ,41,GasA,TA,Y,SBrkr,0,0,1,TA,Min1,NA,Detchd,TA,TA,Y,0,0,127000
90,AllPub,Sawyer,Norm,Norm,Duplex,1Story,5,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Unf,Unf,0,GasA,TA,N,SBrkr,0,0,2,TA,Typ,NA,NA,NA,NA,Y,0,0,136500
50,AllPub,OldTown,Norm,Norm,1Fam,2Story,6,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,128,110000
60,AllPub,NAmes,Norm,Norm,1Fam,2Story,6,VinylSd,VinylSd,TA,Gd,CBlock,Gd,TA,Rec,Unf,0,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,193500
120,AllPub,Mitchel,Norm,Norm,TwnhsE,1Story,5,VinylSd,VinylSd,TA,Gd,PConc,Ex,Gd,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,153500
20,AllPub,Somerst,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,245000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,126500
80,AllPub,Gilbert,Norm,Norm,1Fam,SLvl,5,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,TA,BuiltIn,TA,TA,Y,700,0,168500
60,AllPub,NoRidge,Norm,Norm,1Fam,2Story,5,HdBoard,HdBoard,Gd,TA,CBlock,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,260000
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,BuiltIn,TA,TA,Y,0,0,174000
160,AllPub,Somerst,Norm,Norm,TwnhsE,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Detchd,TA,TA,Y,0,0,164500
50,AllPub,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,2,Plywood,Plywood,Fa,Fa,CBlock,TA,Fa,Unf,Unf,0,GasA,TA,N,SBrkr,513,0,1,Fa,Typ,NA,NA,NA,NA,N,0,156,85000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,NA,NA,NA,Y,0,0,123600
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,BrkFace,Wd Sdng,TA,TA,Slab,NA,NA,NA,NA,0,GasA,TA,Y,FuseA,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,109900
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,3,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,98600
30,AllPub,Crawfor,Norm,Norm,1Fam,1Story,7,Wd Sdng,Wd Sdng,TA,Gd,BrkTil,Gd,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,44,163500
190,AllPub,OldTown,Norm,Norm,2fmCon,2.5Unf,6,MetalSd,MetalSd,TA,TA,BrkTil,TA,Fa,Rec,Unf,0,GasW,Ex,N,SBrkr,0,1,2,TA,Typ,Gd,Detchd,TA,TA,Y,0,0,133900
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,Gd,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,204750
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,8,VinylSd,VinylSd,Ex,Gd,PConc,Gd,Gd,ALQ,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,TA,BuiltIn,TA,TA,Y,480,0,185000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,214000
20,AllPub,Edwards,Norm,Norm,1Fam,1Story,5,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,TA,Y,FuseF,0,0,1,TA,Typ,NA,Attchd,TA,TA,P,0,0,94750
30,AllPub,Edwards,Norm,Norm,1Fam,1Story,5,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,ALQ,Unf,0,GasA,Fa,N,SBrkr,0,0,1,TA,Typ,NA,Basment,Fa,TA,Y,400,77,83000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,Plywood,Plywood,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,Fa,Y,SBrkr,0,0,1,TA,Typ,NA,NA,NA,NA,Y,400,0,128950
20,AllPub,NWAmes,Norm,Norm,1Fam,1Story,7,Plywood,Plywood,TA,TA,PConc,TA,TA,ALQ,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,205000
60,AllPub,SawyerW,Norm,Norm,1Fam,2Story,5,HdBoard,HdBoard,Gd,TA,CBlock,Gd,TA,Unf,Unf,0,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,178000
90,AllPub,SawyerW,Norm,Norm,Duplex,1Story,5,HdBoard,HdBoard,TA,Fa,Slab,NA,NA,NA,NA,0,GasA,TA,Y,SBrkr,0,0,2,TA,Typ,NA,Attchd,TA,TA,Y,0,0,118964
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,198900
50,AllPub,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,Stucco,Stucco,TA,Fa,PConc,TA,TA,LwQ,Unf,0,GasA,Ex,Y,FuseF,0,0,1,TA,Typ,TA,Detchd,TA,TA,Y,0,0,169500
60,AllPub,Somerst,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,250000
